display_name,spec,score
OlmoBaseEval GenQA,olmobase:gen,74.501761
HellaSwag RC,hellaswag:rc:olmo3base,77.000000
Winogrande RC,winogrande:rc:olmo3base,85.970000
Lambada,lambada:olmo3base,70.192121
Basic Skills,basic_skills:rc:olmo3base,86.090319
DROP,drop:gen:olmo3base,71.021602
Jeopardy,jeopardy:gen:olmo3base,62.927980
SQuAD,squad:gen:olmo3base,91.626393
CoQA,coqa:gen:olmo3base,51.185670
